instance,domain,heuristic,plan_length,plan_cost,states_expanded,states_reopened,states_evaluated,evaluations,states_generated,dead_ends,states_expanded_ulj,states_reopened_ulj,states_evaluated_ulj,states_generated_ulj,registered_states,hash_set_load_factor,hash_set_resizes,search_time,total_time,peak_memory
movie - prob21.pddl,movie,cg,7,7,9,0,29,29,1016,0,0,0,1,0,29,0.90625,5,0.0047302,0.011421,56124
movie - prob22.pddl,movie,add,7,7,9,0,29,29,1056,0,0,0,1,0,29,0.90625,5,0.0013204,0.0051089,56124
movie - prob22.pddl,movie,cg,7,7,9,0,29,29,1056,0,0,0,1,0,29,0.90625,5,0.0021363,0.0071357,56124
movie - prob23.pddl,movie,add,7,7,9,0,29,29,1096,0,0,0,1,0,29,0.90625,5,0.0030006,0.0069907,56124
movie - prob23.pddl,movie,cg,7,7,9,0,29,29,1096,0,0,0,1,0,29,0.90625,5,0.001982,0.0061516,56124
movie - prob24.pddl,movie,add,7,7,9,0,29,29,1136,0,0,0,1,0,29,0.90625,5,0.0030173,0.0084004,56124
movie - prob24.pddl,movie,cg,7,7,9,0,29,29,1136,0,0,0,1,0,29,0.90625,5,0.0029723,0.0082141,56124
movie - prob25.pddl,movie,add,7,7,9,0,29,29,1176,0,0,0,1,0,29,0.90625,5,0.0030856,0.0097672,56124
movie - prob25.pddl,movie,cg,7,7,9,0,29,29,1176,0,0,0,1,0,29,0.90625,5,0.0020071,0.0052669,56124
movie - prob26.pddl,movie,add,7,7,9,0,29,29,1216,0,0,0,1,0,29,0.90625,5,0.00285,0.0074078,56124
movie - prob26.pddl,movie,cg,7,7,9,0,29,29,1216,0,0,0,1,0,29,0.90625,5,0.002009,0.0080049,56124
movie - prob27.pddl,movie,add,7,7,9,0,29,29,1256,0,0,0,1,0,29,0.90625,5,0.0031749,0.0070307,56124
movie - prob27.pddl,movie,cg,7,7,9,0,29,29,1256,0,0,0,1,0,29,0.90625,5,0.0032241,0.0082597,56124
movie - prob28.pddl,movie,add,7,7,9,0,29,29,1296,0,0,0,1,0,29,0.90625,5,0.0037076,0.0085475,56124
movie - prob28.pddl,movie,cg,7,7,9,0,29,29,1296,0,0,0,1,0,29,0.90625,5,0.0035399,0.0090503,56124
movie - prob29.pddl,movie,add,7,7,9,0,29,29,1336,0,0,0,1,0,29,0.90625,5,0.0030472,0.0072517,56124
movie - prob29.pddl,movie,cg,7,7,9,0,29,29,1336,0,0,0,1,0,29,0.90625,5,0.0045277,0.0104756,56124
movie - prob30.pddl,movie,add,7,7,9,0,29,29,1376,0,0,0,1,0,29,0.90625,5,0.0019807,0.0070163,56124
